======TRACE SUMMARY=========,,,,,,,
Date:Oct 3 2013 9:22:27 PM,,,,,,,
Trace:test01,,,,,,,
Application(s) Name : Version:,com.google.process.gapps,,,,,,
,com.google.android.apps.plus , 4.1.2.51968121,,,,,
DCH (Active) Tail Ratio:,0.04,,,,,,
FACH (Standby) Tail Ratio:,0,,,,,,
Promotion Ratio:,0.03,,,,,,
,,,,,,,
,,,,,,,
===== Burst Analysis =====,,,,,,,
Burst,Bytes,% of Bytes,Energy,% of Energy,DCH (Active),% DCH (Active),JpKB
ScreenRotation,67295,0.321983012,5.424806213,5.406428112,3.172927856,4.1647911,0.010076541
LargeBurst,20832876,99.67801699,94.91512434,94.59357189,73.01163411,95.8352089,5.70E-04
,,,,,,,
===== Individual Burst Analysis =====,,,,,,,
Start Time,Time Elapsed,Bytes,Packet Count,Burst,,,
1.856437922,1.171463013,67295,234,ScreenRotation,,,
7.029365778,69.70462418,20832876,23445,LargeBurst,,,
,,,,,,,
,,,,,,,
----------- Cacheable vs. non-cacheable ------------,%responses,%bytes,,,,,
Cacheable:,100,100,,,,,
Specified - No Store:,0,0,,,,,
,,,,,,,
,,,,,,,
----------- Cache simulation results ------------,,,,,,,
----------- Acceptable Behavior ------------,,,,,,,
Files downloaded once:,100,100,,,,,
"Files specified as ""No-Store"":",0,0,,,,,
Expired but correct 304 response sent from server:,0,0,,,,,
Expired downloaded again but file has changed:,0,0,,,,,
----------- Duplicate File Download ------------,,,,,,,
Duplicate download (not expired):,0,0,,,,,
"Duplicate download (expired but no ""If-Modified-Since"" header sent):",0,0,,,,,
"Duplicate download (expired but ""If-Modified-Since"" header ignored):",0,0,,,,,
-------------- Duplicate File Download: Streaming------------------,,,,,,,
Partial duplicate download (Not Expired):,0,0,,,,,
"Partial duplicate download (expired but no ""If-Modified-Since"" header sent):",0,0,,,,,
"Partial duplicate download (expired but ""If-Modified-Since"" header ignored):",0,0,,,,,
,,,,,,,
,,,,,,,
----------- Duplicate File Analysis------------,,,,,,,
Duplicate download (Cache not expired):,0,0,,,,,
Duplicate download (24 hr cache not expired):,0,0,,,,,
Duplicate download (Cache expired):,0,0,,,,,
Duplicate download (24 hr cache expired):,0,0,,,,,
,,,,,,,
,,,,,,,
===== Energy Efficiency Simulation =====,,,,,,,
DCH (Active):,99.04,J,,,,,
FACH (Standby):,0,J,,,,,
IDLE:,0,J,,,,,
IDLE->DCH (Active):,1.3,J,,,,,
FACH (Standby)->DCH (Active):,0,J,,,,,
DCH (Active) Tail:,4.3,J,,,,,
FACH (Standby) Tail:,0,J,,,,,
Total RRC Energy:,100.34,J,,,,,
Joules per Kilobyte:,0,,,,,,
GPS Active:,36.02,J,,,,,
GPS Standby:,0,J,,,,,
Total GPS Energy:,36.02,J,,,,,
Total Camera Energy:,0,J,,,,,
Bluetooth Active:,0,J,,,,,
Bluetooth Standby:,0,J,,,,,
Total Bluetooth Energy:,0,J,,,,,
Total Screen Energy:,50.63,J,,,,,
