======TRACE SUMMARY=========,,,,,,,
Date:Nov 20 2013 2:51:16 PM,,,,,,,
Trace:Nov20a,,,,,,,
Application(s) Name : Version:,com.example.newandroidclient ,1,,,,,
============CONNECTION STATISTICS============,,,,,,,
Proper session termination,0.00%,,,,,,
Tightly grouped connection,0.00%,,,,,,
Non-Periodic Burst connection,100.00%,,,,,,
Large Burst connection,100.00%,,,,,,
,,,,,,,
===== Trace Score =====,,,,,,,
Causes,,,,,,,
Cache Control:,75,(out of 75),,,,,
Connection Closing Problems:,75,(out of 75),,,,,
Tightly Grouped Connections:,0,(out of 150),,,,,
Periodic Transfers:,150,(out of 150),,,,,
Content Expiration:,50,(out of 50),,,,,
Cause Sub-total:,350,(out of 500),,,,,
Effects,,,,,,,
Duplicate Content:,125,(out of 125),,,,,
Signaling Overhead:,1,(out of 125),,,,,
Average Rate (kb/s):,62,(out of 62.5),,,,,
Energy Efficiency (J/kb):,185,(out of 187.5),,,,,
Effects Sub-total:,373,(out of 500),,,,,
Total Score,723,(out of 1000),,,,,
,,,,,,,
===== Endpoint Summary Per Application =====,,,,,,,
Application Name,Packet Count,Total Bytes,,,,,
com.example.newandroidclient,1704,1903977,,,,,
,,,,,,,
,,,,,,,
===== Endpoint Summary Per IP Address =====,,,,,,,
IP Address,Packet Count,Total Bytes,,,,,
142.232.17.41,1704,1903977,,,,,
,,,,,,,
,,,,,,,
===== RRC State Machine Simulation =====,,,,,,,
DCH (Active):,11.59,S,81.35%,,,,
FACH (Standby):,0,S,0.00%,,,,
IDLE:,1.13,S,7.93%,,,,
IDLE->DCH (Active):,1.53,S,10.71%,,,,
FACH (Standby)->DCH (Active):,0,S,0.00%,,,,
DCH (Active) Tail Ratio:,0.23,,,,,,
FACH (Standby) Tail Ratio:,0,,,,,,
Promotion Ratio:,0.15,,,,,,
,,,,,,,
,,,,,,,
===== Burst Analysis =====,,,,,,,
Burst,Bytes,% of Bytes,Energy,% of Energy,DCH (Active),% DCH (Active),JpKB
LargeBurst,1815237,100,16.06202832,100,11.59221387,100,0.001106056
,,,,,,,
===== Individual Burst Analysis =====,,,,,,,
Start Time,Time Elapsed,Bytes,Packet Count,Burst,,,
1.130400896,10.45225096,1815237,1704,LargeBurst,,,
,,,,,,,
,,,,,,,
----------- Cacheable vs. non-cacheable ------------,%responses,%bytes,,,,,
Cacheable:,0,0,,,,,
Specified - No Store:,0,0,,,,,
,,,,,,,
,,,,,,,
----------- Cache simulation results ------------,,,,,,,
----------- Acceptable Behavior ------------,,,,,,,
Files downloaded once:,0,0,,,,,
"Files specified as ""No-Store"":",0,0,,,,,
Expired but correct 304 response sent from server:,0,0,,,,,
Expired downloaded again but file has changed:,0,0,,,,,
----------- Duplicate File Download ------------,,,,,,,
Duplicate download (not expired):,0,0,,,,,
"Duplicate download (expired but no ""If-Modified-Since"" header sent):",0,0,,,,,
"Duplicate download (expired but ""If-Modified-Since"" header ignored):",0,0,,,,,
-------------- Duplicate File Download: Streaming------------------,,,,,,,
Partial duplicate download (Not Expired):,0,0,,,,,
"Partial duplicate download (expired but no ""If-Modified-Since"" header sent):",0,0,,,,,
"Partial duplicate download (expired but ""If-Modified-Since"" header ignored):",0,0,,,,,
,,,,,,,
,,,,,,,
----------- Duplicate File Analysis------------,,,,,,,
Duplicate download (Cache not expired):,0,0,,,,,
Duplicate download (24 hr cache not expired):,0,0,,,,,
Duplicate download (Cache expired):,0,0,,,,,
Duplicate download (24 hr cache expired):,0,0,,,,,
,,,,,,,
,,,,,,,
===== Energy Efficiency Simulation =====,,,,,,,
DCH (Active):,15.07,J,,,,,
FACH (Standby):,0,J,,,,,
IDLE:,0,J,,,,,
IDLE->DCH (Active):,0.99,J,,,,,
FACH (Standby)->DCH (Active):,0,J,,,,,
DCH (Active) Tail:,3.47,J,,,,,
FACH (Standby) Tail:,0,J,,,,,
Total RRC Energy:,16.06,J,,,,,
Joules per Kilobyte:,0.01,,,,,,
GPS Active:,6.41,J,,,,,
GPS Standby:,0,J,,,,,
Total GPS Energy:,6.41,J,,,,,
Total Camera Energy:,0,J,,,,,
Bluetooth Active:,0,J,,,,,
Bluetooth Standby:,0,J,,,,,
Total Bluetooth Energy:,0,J,,,,,
Total Screen Energy:,9.08,J,,,,,
